"category_type","product_type","product_brand","product_rating","product_review","product_price"
"Bakery","Croissant","ParisBakes","4.8","105","2.59"
"Bakery","Croissant","NewYorker","4.6","100","2.39"
"Bakery","Croissant","SweetTreats","4.5","95","2.29"
"Bakery","Croissant","ArtisanLoaf","4.4","90","2.19"
"Bakery","Chocolate Muffin","BakeHouse","4.6","95","3.49"
"Bakery","Chocolate Muffin","ParisBakes","4.7","90","3.59"
"Bakery","Chocolate Muffin","NewYorker","4.5","85","3.39"
"Bakery","Chocolate Muffin","SweetTreats","4.4","80","3.29"
"Bakery","Chocolate Muffin","ArtisanLoaf","4.3","75","3.19"
"Beverages","Orange Juice","JuicyFresh","4.8","210","5.49"
"Beverages","Orange Juice","CitrusCool","4.7","200","5.39"
"Beverages","Orange Juice","NutriMilk","4.6","190","5.29"
"Beverages","Orange Juice","TeaGarden","4.5","180","5.19"
"Beverages","Orange Juice","BeanBrew","4.4","170","4.99"
"Beverages","Green Tea","JuicyFresh","4.6","130","3.99"
"Beverages","Green Tea","CitrusCool","4.7","120","4.09"
"Beverages","Green Tea","NutriMilk","4.5","110","3.89"
"Beverages","Green Tea","TeaGarden","4.8","100","4.19"
"Beverages","Green Tea","BeanBrew","4.4","90","3.79"
"Beverages","Cold Brew Coffee","JuicyFresh","4.7","150","4.99"
"Beverages","Cold Brew Coffee","CitrusCool","4.8","140","5.09"
"Beverages","Cold Brew Coffee","NutriMilk","4.6","130","4.89"
"Beverages","Cold Brew Coffee","TeaGarden","4.7","120","5.19"
"Beverages","Cold Brew Coffee","BeanBrew","4.5","110","4.79"
"Snacks","Potato Chips","CrunchyBites","4.2","300","2.49"
"Snacks","Potato Chips","SweetBite","4.3","290","2.59"
"Snacks","Potato Chips","NuttyNature","4.1","280","2.39"
"Snacks","Potato Chips","SnackTwist","4.0","270","2.29"
"Snacks","Potato Chips","MovieTime","3.9","260","2.19"
"Snacks","Trail Mix","CrunchyBites","4.6","120","4.29"
"Snacks","Trail Mix","SweetBite","4.7","110","4.39"
"Snacks","Trail Mix","NuttyNature","4.5","100","4.19"
"Snacks","Trail Mix","SnackTwist","4.4","90","3.99"
"Snacks","Trail Mix","MovieTime","4.3","80","3.89"
"Snacks","Popcorn","CrunchyBites","4.4","110","3.49"
"Snacks","Popcorn","SweetBite","4.5","100","3.59"
"Snacks","Popcorn","NuttyNature","4.3","90","3.39"
"Snacks","Popcorn","SnackTwist","4.2","80","3.29"
"Snacks","Popcorn","MovieTime","4.1","70","3.19"
"Frozen Foods","Frozen Pizza","PizzaKing","4.1","110","6.99"
"Frozen Foods","Frozen Pizza","QuickVeg","4.2","100","7.19"
"Frozen Foods","Frozen Pizza","CreamyDelight","4.0","90","6.79"
"Frozen Foods","Frozen Pizza","DumplingHouse","3.9","80","6.59"
"Frozen Foods","Frozen Pizza","OceanFresh","3.8","70","6.39"
"Frozen Foods","Ice Cream","PizzaKing","4.7","140","5.99"
"Frozen Foods","Ice Cream","QuickVeg","4.8","130","6.19"
"Frozen Foods","Ice Cream","CreamyDelight","4.6","120","5.79"
"Frozen Foods","Ice Cream","DumplingHouse","4.5","110","5.59"
"Frozen Foods","Ice Cream","OceanFresh","4.4","100","5.39"
"Frozen Foods","Frozen Dumplings","PizzaKing","4.6","120","7.49"
"Frozen Foods","Frozen Dumplings","QuickVeg","4.7","110","7.69"
"Frozen Foods","Frozen Dumplings","CreamyDelight","4.5","100","7.29"
"Frozen Foods","Frozen Dumplings","DumplingHouse","4.4","90","7.09"
"Frozen Foods","Frozen Dumplings","OceanFresh","4.3","80","6.89"
